user_pk,follower_pk,follower_username,follower_count
2163353,25038770,constancegervais,95
2163353,7237552411,haleykattner2018,739
2163353,47006061904,ivyleaguecoaching,41
2163353,16801964216,scottjolly1,14
2163353,1372290611,taraoneil.cht,30
2163353,214500095,rpratta,4609
2163353,4069768136,especiallyjessi,111
2163353,4177181262,fatdarlingphotography,193
65925637970,69780093335,miamor3414,0
65925637970,16440214714,axmerica16,3
65925637970,55152371377,_3_ciaaa,69
65925637970,21304608118,anaesle,51
65925637970,54039756554,marthy.sator,5
65925637970,57732687430,its_msrmayel,6
65925637970,67000920993,prashantnavasare,4
65925637970,7117852289,ssuag_,7
65925637970,345826057,jello_shakur,922
65925637970,38637533,sweeswaw,86
65925637970,69376501656,cigaretteslady_on,293
65925637970,70899982554,ilikepeoplewhodontsmile7501,13
65925637970,56047069794,hohayremedios,35
65925637970,7061335857,chuchu.jam,10
65925637970,47157573357,justinjayalmaiz,7
65925637970,53922243092,yvonn_ny,14
65925637970,49062823341,cookie_thief,29
65925637970,1518456957,haneenalqawasmiii,113
65925637970,2605346211,alialaviniia,350
65925637970,62223440796,doo_wie.07,12
65925637970,59168083254,rcienterprises512,1241
65925637970,655967349,samuh_d,216
65925637970,1975709146,the_only_fizzpop,545
65925637970,3291101360,iamjah_el,39
65925637970,3704250491,rumbee_sarmon,678
62301840879,70243885738,godssswomannn,2
62301840879,68891963878,027.angela,1
62301840879,71893071589,softgirlbusiness,4
62301840879,53432166678,jss.cnvs,0
62301840879,69679781444,addrinnexx,12
62301840879,72114931988,thewealthywomenhub,35
62301840879,68902629636,bilioner_lifestayle_1,274
62301840879,65578391386,o.n.y.i.n.y.e__c.h.u.k.w.u,12
62301840879,35581810771,_hetvi_kanani_2910_,48
62301840879,69383986896,hadita.iso,2
62301840879,49153306370,nicol.lyne,13
62301840879,50846006573,cpx_99,0
62301840879,49351353306,cozy.quiet,25
62301840879,48432665765,skzyyourlrlt_,2
62301840879,67104508734,emmanuela_011,11
62301840879,71665217442,thevushift,49
62301840879,50138854336,anaghaa_here,14
62301840879,8457605053,yrlv_niyaaa,4
62301840879,55813421737,mn._rachael,8
62301840879,6812911136,justice.bronola,133
62301840879,60689522675,kei_shirin,0
62301840879,56335479509,amortheleo,0
62301840879,63043036324,gods.anointedchild,57
62301840879,49308520466,imen__shl,30
62301840879,68716687587,redmissus,2
62301840879,65693141716,swan.68788,0
62301840879,57273809091,elisa.titi_,15
62301840879,70297422773,global_pulses,374
62301840879,61472682390,vanijindal9534,10
62301840879,61813427447,tf.its_ayxsha,26
62301840879,71338437370,syafiqachan_,6
62301840879,6294005934,https.sbrnah,5
62301840879,9130834753,xioo_650,53
62301840879,61474025486,dmy_.r,4
62301840879,46699075628,nattlwi,3
62301840879,59172287852,l1zzy.a11.d4y,3
62301840879,54242806943,sk.kajal23,1
62301840879,59674333128,langa_hasegawa777,15
62301840879,51605829193,inastal05,10
62301840879,48526988507,flooweryyy____,4
62301840879,72063026684,_samirafaiza,3
62301840879,71891432614,gildedascent,81
62301840879,51655498286,mulundu_chisha,43
62301840879,65907304965,journalwithprecious20,8
