thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
64590647931.0,jodz_is_it_,63493369015.0,magicalmichellemikala,
64590647931.0,jodz_is_it_,63283797694.0,emans_world_of_geek,
64590647931.0,jodz_is_it_,69867272343.0,darrell_823,
64590647931.0,jodz_is_it_,63475297682.0,jcampbell1365762,
64590647931.0,jodz_is_it_,63604569022.0,rossboylan5,
64590647931.0,jodz_is_it_,63433665331.0,ashalaroux_,
64590647931.0,jodz_is_it_,63089570511.0,superbatmarc,
64590647931.0,jodz_is_it_,63065412367.0,gmtj2k,
64590647931.0,jodz_is_it_,63382996540.0,co_mixed,
64590647931.0,jodz_is_it_,63259794718.0,trntsllrs,
64590647931.0,jodz_is_it_,64412966660.0,jessicajohnsonartist,
64590647931.0,jodz_is_it_,71173244232.0,a.just.this,
64590647931.0,jodz_is_it_,71319820374.0,murderitchy,
64590647931.0,jodz_is_it_,63409559677.0,divorcingreligion,
64590647931.0,jodz_is_it_,63375982430.0,authorbertslechner,
64590647931.0,jodz_is_it_,63049117366.0,siryurig,
64590647931.0,jodz_is_it_,70010583568.0,apotrepka,
64590647931.0,jodz_is_it_,71097678040.0,theluigion,
64590647931.0,jodz_is_it_,63263723611.0,dankilgrave,
64590647931.0,jodz_is_it_,63269907651.0,birdcitybeast,
64590647931.0,jodz_is_it_,69022833451.0,johnwickham_mr,
64590647931.0,jodz_is_it_,63259130743.0,stahlschmidtsarah,
64590647931.0,jodz_is_it_,69176161194.0,jwinteruscmat13,
64590647931.0,jodz_is_it_,64767709952.0,comicbookphilosophy,
64590647931.0,jodz_is_it_,63914448907.0,masajarvinen09,
70257592802.0,anna.iceage,70151446799.0,joni_rissanen,
70257592802.0,anna.iceage,70167869647.0,matti_kummatti,
70257592802.0,anna.iceage,64782057456.0,seta_ry,
70257592802.0,anna.iceage,63885146710.0,haaparannarska,
70257592802.0,anna.iceage,63754415354.0,justsopivasti,
70257592802.0,anna.iceage,63841463514.0,kantolananu,
70257592802.0,anna.iceage,64257660225.0,mikko.antero.leskela,
70257592802.0,anna.iceage,63545350782.0,petrivatanen,
70257592802.0,anna.iceage,70988974770.0,miitit_helsinki,
65612345064.0,amandacore2.0,68794379601.0,cosplaylexie,
65612345064.0,amandacore2.0,68825023567.0,cabinfullofbears,
65612345064.0,amandacore2.0,63449841364.0,john.c.king,
65612345064.0,amandacore2.0,63463741714.0,bryony.ella,
65612345064.0,amandacore2.0,68369186728.0,officialsterlingmasters,
65612345064.0,amandacore2.0,66908900971.0,mariemarlenexo,
65612345064.0,amandacore2.0,70442473730.0,choosing2bchildfree,
65612345064.0,amandacore2.0,68806667798.0,christian_market,
65612345064.0,amandacore2.0,70659223996.0,seanalmondauthor,
65612345064.0,amandacore2.0,66783462175.0,rjvrtiska,
65612345064.0,amandacore2.0,63091861923.0,lin_g_bear,
65612345064.0,amandacore2.0,63277038926.0,erik.dogarmy,
65612345064.0,amandacore2.0,63449097476.0,monique.faella.designs,
65612345064.0,amandacore2.0,70861165164.0,zuelene.yott,
65612345064.0,amandacore2.0,63445011749.0,2023papi,
65612345064.0,amandacore2.0,63126052524.0,mmeguillotine,
65612345064.0,amandacore2.0,63120534473.0,dottydelightful,
65612345064.0,amandacore2.0,63275553882.0,debramacki,
65612345064.0,amandacore2.0,63484530629.0,xbryan_waynex,
65612345064.0,amandacore2.0,65488018676.0,jenndesantis,
65612345064.0,amandacore2.0,70292358007.0,trinityleonard_art,
65612345064.0,amandacore2.0,63482466126.0,sierra.tree93,
65612345064.0,amandacore2.0,63303296660.0,beckandthemat,
65612345064.0,amandacore2.0,65771638049.0,bethanysliteralghost,
67043312507.0,slhersh2,66338393439.0,infidale3476,
67043312507.0,slhersh2,63467678725.0,hezzie06,
67043312507.0,slhersh2,64626253651.0,valkyrie112189,
67043312507.0,slhersh2,63319672576.0,theresavazquez2023,
67043312507.0,slhersh2,63277060494.0,wildbellsart,
67043312507.0,slhersh2,63437498841.0,gadgetgirl2023,
67043312507.0,slhersh2,63131661484.0,mermadeforthis,
67043312507.0,slhersh2,63400263475.0,plummerangie2499,
67043312507.0,slhersh2,68701247368.0,drbrittneydoll,
67043312507.0,slhersh2,67018496028.0,bloomthediverse,
67043312507.0,slhersh2,63427331892.0,msspentyouth,
67043312507.0,slhersh2,67731794834.0,kelbachus,
67043312507.0,slhersh2,67840152243.0,bluedabade,
62977579081.0,mommy_dearest19,68752163804.0,forwardintoyesterday,
62977579081.0,mommy_dearest19,63092385350.0,steven_michael_quezada,
62977579081.0,mommy_dearest19,68024995292.0,piano.livelove,
62977579081.0,mommy_dearest19,67618231642.0,jason.oster.013,
62977579081.0,mommy_dearest19,63416325405.0,decaffnm1,
62977579081.0,mommy_dearest19,63421788698.0,erictigerfan,
62977579081.0,mommy_dearest19,68751898910.0,hudsonceronecdp,
63129264202.0,thetestbear,63408901342.0,jemhartleypoet,
63129264202.0,thetestbear,68003622341.0,rosie_revive,
63129264202.0,thetestbear,68859186751.0,historical.anachronism,
63129264202.0,thetestbear,63791816578.0,lorenjavier,
63129264202.0,thetestbear,66751215178.0,echo_in_the_bone,
63129264202.0,thetestbear,63422487554.0,bedsidearts,
63129264202.0,thetestbear,66353835888.0,poochuhreally,
63129264202.0,thetestbear,63022675552.0,annellasavo,
63129264202.0,thetestbear,63146110743.0,vlladimirs,
63129264202.0,thetestbear,69087810482.0,basedgirrl,
63129264202.0,thetestbear,63043349664.0,s.reed.author,
63129264202.0,thetestbear,63127620530.0,elemental.archfey,
63232691849.0,julpauluca,63951826297.0,dinasskmr,
63232691849.0,julpauluca,64037142556.0,nerds.know.more,
63232691849.0,julpauluca,68752163804.0,forwardintoyesterday,
63232691849.0,julpauluca,63474201348.0,lowqualityfacts,
63508936345.0,alegna_yelnats,68704987158.0,cococooks2,
63508936345.0,alegna_yelnats,63269011269.0,aenajk,
63508936345.0,alegna_yelnats,63290524610.0,vindexavantgarde,
63508936345.0,alegna_yelnats,63024263107.0,tyronethephilosopher,
63508936345.0,alegna_yelnats,68276119684.0,anorton66,
63508936345.0,alegna_yelnats,63451514968.0,la_seletzky,
63508936345.0,alegna_yelnats,63480427209.0,yogisanonymous,
63508936345.0,alegna_yelnats,68378283888.0,kimatnovelty,
63508936345.0,alegna_yelnats,63017863508.0,ahdidi413,
63508936345.0,alegna_yelnats,63159846263.0,kiah_kane,
63508936345.0,alegna_yelnats,64737148485.0,phenix.the.grayt,
63508936345.0,alegna_yelnats,63445270989.0,ericjgruber,
63508936345.0,alegna_yelnats,63218103700.0,lbweaver,
63466017585.0,mamajenng77,70221454107.0,orionsvoice,
63466017585.0,mamajenng77,63206207101.0,lady_star_gem,
63466017585.0,mamajenng77,63360070841.0,jeno1975,
63466017585.0,mamajenng77,63441525422.0,kmthynes,
63466017585.0,mamajenng77,63413952680.0,sherri.goodwin.79,
63466017585.0,mamajenng77,66393263522.0,lights.out.squirrel,
63466017585.0,mamajenng77,63280500436.0,flysxxt,
63466017585.0,mamajenng77,63421742960.0,lyndamotvos,
63466017585.0,mamajenng77,63502232681.0,jbatterson7,
63466017585.0,mamajenng77,69867272343.0,darrell_823,
63466017585.0,mamajenng77,63220534923.0,igottalotofthingstosay,
63466017585.0,mamajenng77,63421252383.0,robert.j.butcher,
63466017585.0,mamajenng77,63050543406.0,josie_gs_,
63466017585.0,mamajenng77,63432455523.0,hugspeak,
63466017585.0,mamajenng77,63618841123.0,allandshore,
63466017585.0,mamajenng77,63314473330.0,very_old_grandma,
63466017585.0,mamajenng77,63385719187.0,bradcooney1,
63466017585.0,mamajenng77,63280048563.0,la.graceeeee,
63466017585.0,mamajenng77,63411748367.0,davison1285,
63414788052.0,douglasricketson,62862454803.0,kittenbreath,
63414788052.0,douglasricketson,63403403675.0,uxorigami,
63414788052.0,douglasricketson,68764309976.0,jodiwildflower86,
63414788052.0,douglasricketson,63102101403.0,kellypriceartist,
63414788052.0,douglasricketson,65438843921.0,cchelle80,
63414788052.0,douglasricketson,63449616871.0,essentialzsazsa,
63414788052.0,douglasricketson,63233118519.0,abbyschmidt42,
63414788052.0,douglasricketson,63066571172.0,jmh365,
63414788052.0,douglasricketson,63394719858.0,rowstagram,
63414788052.0,douglasricketson,63472193758.0,lisafisher71,
63414788052.0,douglasricketson,63476874505.0,bigyellowinpyjamas,
63414788052.0,douglasricketson,63200639723.0,cctomb,
63414788052.0,douglasricketson,64585037883.0,cyynbadd,
63414788052.0,douglasricketson,63236157604.0,nancilizwester,
63414788052.0,douglasricketson,63444804410.0,kmr71170,
63414788052.0,douglasricketson,63252217075.0,seedanesti,
63414788052.0,douglasricketson,63014175915.0,mapaames,
63414788052.0,douglasricketson,63395384009.0,providencefarmnc,
63414788052.0,douglasricketson,67200824407.0,sheisfire2024,
63414788052.0,douglasricketson,63940629903.0,gardens_with_johanna,
63414788052.0,douglasricketson,65764622921.0,wordsprom,
63414788052.0,douglasricketson,63275758953.0,the_recovering_teacher,
63414788052.0,douglasricketson,63055284847.0,thisuglybeautifulcity,
63414788052.0,douglasricketson,67964957054.0,matthewjonsmith,
63414788052.0,douglasricketson,63396727022.0,yarscott,
63414788052.0,douglasricketson,63095035593.0,confessesarose,
63414788052.0,douglasricketson,65232578507.0,highland_orchards,
63414788052.0,douglasricketson,63075809980.0,trinity3pearls,
63414788052.0,douglasricketson,64467078163.0,elli_eyeballz_,
63414788052.0,douglasricketson,63433139477.0,geneouye,
63414788052.0,douglasricketson,63455822056.0,charlene_bagcal,
63414788052.0,douglasricketson,63081654585.0,thetonijulian,
63414788052.0,douglasricketson,67099432742.0,worldcelebritychronicles,
63414788052.0,douglasricketson,63089667013.0,seanmastersons,
63414788052.0,douglasricketson,63238178741.0,the_morganalefay,
63414788052.0,douglasricketson,63237967349.0,ehjayztherealist2,
63414788052.0,douglasricketson,68071871057.0,theladiesfromthe80s,
63414788052.0,douglasricketson,63444457300.0,oyeas_1999,
63429533384.0,mmludz,63245617825.0,califcreative,
63429533384.0,mmludz,67162083636.0,faequeen41,
63429533384.0,mmludz,63613112614.0,mykey2mindfulness,
63429533384.0,mmludz,63452276135.0,scrumdiddly619,
63429533384.0,mmludz,63060655285.0,nicktheg33k,
63429533384.0,mmludz,63543165452.0,sadsadmatt,
63429533384.0,mmludz,66269541889.0,adnaneraba,
63429533384.0,mmludz,63027351375.0,reecewellspring,
63429533384.0,mmludz,70033463622.0,sha_na_na_nuh,
63429533384.0,mmludz,63459885023.0,missionspooky,
63429533384.0,mmludz,63912359650.0,wazirzaman3,
63429533384.0,mmludz,63438997894.0,purrfeckt,
63429533384.0,mmludz,63135484516.0,lorriacott,
63429533384.0,mmludz,63653344449.0,kolchak,
63429533384.0,mmludz,63099738271.0,adambudish21,
63429533384.0,mmludz,63291608919.0,kellieb71,
63429533384.0,mmludz,63421252383.0,robert.j.butcher,
63429533384.0,mmludz,63430230556.0,ms.smart.art,
63429533384.0,mmludz,70576140985.0,maxmurphymusicman,
63429533384.0,mmludz,63309864407.0,dsyrop0321,
63429533384.0,mmludz,63159894169.0,lynzkatz_amshfolds,
63429533384.0,mmludz,63243865574.0,tapatti,
64654109449.0,the_brides_katana_,63419626958.0,alicrysky,
64654109449.0,the_brides_katana_,63463426276.0,zaher94sh,
64654109449.0,the_brides_katana_,63391732771.0,sewnsew27,
64654109449.0,the_brides_katana_,63642768014.0,ruthbc_is_here,
64654109449.0,the_brides_katana_,63074333186.0,80skitty,
64654109449.0,the_brides_katana_,65654019324.0,khalill_a03,
64654109449.0,the_brides_katana_,63266059919.0,the.agitated.accomplice,
64654109449.0,the_brides_katana_,63446345271.0,nancyb0i_,
64654109449.0,the_brides_katana_,63151245425.0,kiphakes,
64654109449.0,the_brides_katana_,63058639673.0,rheyandtristen,
64654109449.0,the_brides_katana_,63244511227.0,joshuaclements89,
64654109449.0,the_brides_katana_,67258326907.0,theawakenedcast,
63265938896.0,envelopesrule,63212921737.0,end.western.imperialism,
63658696143.0,ahkiez,63447512966.0,nurenaissance_art,
63658696143.0,ahkiez,63404132645.0,ajmstoryteller,
63658696143.0,ahkiez,63409051417.0,crystalicious_officielle,
63658696143.0,ahkiez,63127620530.0,elemental.archfey,
63658696143.0,ahkiez,63248432466.0,dawnsizzles,
63658696143.0,ahkiez,63617992020.0,sophieclw5,
63658696143.0,ahkiez,63402975104.0,sarahcookwrites,
63658696143.0,ahkiez,63296113715.0,thedragonqueenreads,
63658696143.0,ahkiez,63946663257.0,weallfalldown12,
63658696143.0,ahkiez,69867272343.0,darrell_823,
63658696143.0,ahkiez,63011803288.0,k4rv3d,
63658696143.0,ahkiez,63408460735.0,izzyduzzzit,
63658696143.0,ahkiez,63371657104.0,the_inspirational_seeker,
63658696143.0,ahkiez,71324892320.0,officialsrscinema,
63658696143.0,ahkiez,65592429405.0,wildsoundwriting,
63658696143.0,ahkiez,63370294386.0,cultpopcult,
63658696143.0,ahkiez,67977999376.0,manacaster_game,
63658696143.0,ahkiez,63276733574.0,hybridapocalypse,
63658696143.0,ahkiez,63622136863.0,causticwaves,
63658696143.0,ahkiez,63465801353.0,danlovesfilm,
63487441453.0,mmaule1917,63281573014.0,deadguybob,
63487441453.0,mmaule1917,72008518087.0,sexstuffwithk,
63487441453.0,mmaule1917,69946613802.0,bodhicaricorey,
63487441453.0,mmaule1917,63465016718.0,cmcynic_,
63487441453.0,mmaule1917,63102101403.0,kellypriceartist,
63487441453.0,mmaule1917,70662901315.0,chronicallyjulianx,
63487441453.0,mmaule1917,63127620530.0,elemental.archfey,
63487441453.0,mmaule1917,65960511009.0,davidrdmitchell,
63487441453.0,mmaule1917,63451492930.0,anjalienjeti,
63487441453.0,mmaule1917,63270999881.0,hawkiiarts,
63487441453.0,mmaule1917,63372159983.0,hellboundblack,
63487441453.0,mmaule1917,63411748367.0,davison1285,
63487441453.0,mmaule1917,68715234754.0,fev_let,
63487441453.0,mmaule1917,64005677465.0,marleen_24_7,
63487441453.0,mmaule1917,63297752471.0,jamayaxx,
63487441453.0,mmaule1917,63087615649.0,itsdrum_em_bass,
63487441453.0,mmaule1917,64699677358.0,jokesterjen_,
63487441453.0,mmaule1917,63281657974.0,kalimariamoon,
63487441453.0,mmaule1917,63416447568.0,bensmomada,
63487441453.0,mmaule1917,63290317559.0,drinkwynk,
63487441453.0,mmaule1917,65798996435.0,bardgroupie,
63487441453.0,mmaule1917,70403371093.0,zapatista.princess,
63364879566.0,ruthie3149,63468761642.0,zayshad,
63364879566.0,ruthie3149,67925886348.0,hoosierblue63,
63364879566.0,ruthie3149,63413952680.0,sherri.goodwin.79,
63364879566.0,ruthie3149,63433719200.0,demsabroadcanada,
63364879566.0,ruthie3149,63475051432.0,awknddragn,
63364879566.0,ruthie3149,62853220470.0,patwallace05,
63364879566.0,ruthie3149,63070306885.0,m.walken420,
63364879566.0,ruthie3149,63208007540.0,carlawalsh420,
63364879566.0,ruthie3149,63444900690.0,mrs.krantz,
63364879566.0,ruthie3149,63529011503.0,breakingpoliticalnews,
63364879566.0,ruthie3149,63406191688.0,dianemcdowell33,
63364879566.0,ruthie3149,63236157604.0,nancilizwester,
63364879566.0,ruthie3149,63423284055.0,luckymw56,
63364879566.0,ruthie3149,63498386224.0,lscottspencer,
63364879566.0,ruthie3149,63458404481.0,teixeiarenato,
63364879566.0,ruthie3149,63373270174.0,brooke.hagar,
63364879566.0,ruthie3149,63066326433.0,metellaporcia,
63364879566.0,ruthie3149,63256099074.0,jeffreybsimon.official,
63422965122.0,bencole511,63490097340.0,chesterthread,
63422965122.0,bencole511,63486016088.0,jlhulsman_ga,
63422965122.0,bencole511,63151669366.0,alanmarshall9,
63422965122.0,bencole511,63385635203.0,akamarrick,
63422965122.0,bencole511,65564715924.0,brave_cat_sanctuary,
63422965122.0,bencole511,68842471448.0,gayle_at_sml,
63422965122.0,bencole511,68752163804.0,forwardintoyesterday,
63422965122.0,bencole511,63274356641.0,wexanaxx,
63422965122.0,bencole511,63090407215.0,tatteredscroll,
63422965122.0,bencole511,63270756162.0,starindone17,
63422965122.0,bencole511,63308616329.0,malpix23,
63482419694.0,shakyfish,63279206203.0,steve53collinson,
63482419694.0,shakyfish,63247575820.0,jonnieleigh71,
63482419694.0,shakyfish,63066726111.0,rensrabbitholefans,
63482419694.0,shakyfish,63240566518.0,blackwhiteman21,
63482419694.0,shakyfish,63376895041.0,brigidvsmyth,
63482419694.0,shakyfish,63412183682.0,bothbikes,
63482419694.0,shakyfish,63515518513.0,peterversion56,
63482419694.0,shakyfish,63448423061.0,coffee_noir_girldetective,
63482419694.0,shakyfish,63070362556.0,northodoxpressofficial,
63482419694.0,shakyfish,63144094195.0,gburley2,
63482419694.0,shakyfish,63363559133.0,principleofsolidarity,
63482419694.0,shakyfish,63125796553.0,emberiza.training,
63482419694.0,shakyfish,63142668964.0,tattyquail,
63482419694.0,shakyfish,64235468237.0,eugene290390,
63482419694.0,shakyfish,63070877113.0,dannea_cooks,
63482419694.0,shakyfish,63069294498.0,urielgarcia_r,
63482419694.0,shakyfish,63433385902.0,darylws,
63363799590.0,jen__briggs,63430134521.0,raymdiaz973,
63363799590.0,jen__briggs,63240220406.0,_dangerdaze_,
63363799590.0,jen__briggs,63507416196.0,jvatx,
63363799590.0,jen__briggs,68892403978.0,greedbane,
63363799590.0,jen__briggs,63231551805.0,adhd_over40,
63363799590.0,jen__briggs,63606225038.0,black_cherry_blues,
63363799590.0,jen__briggs,63477113103.0,joe_thomas_z,
63363799590.0,jen__briggs,63404598726.0,anitablanchard,
63363799590.0,jen__briggs,63451514968.0,la_seletzky,
