thread_user_pk,thread_username,thread_follower_pk,thread_follower_username,follower_count
63253777570.0,elemnt_gc22,63444496451.0,code.e_dj,
63253777570.0,elemnt_gc22,66281829145.0,modeozz,
63253777570.0,elemnt_gc22,63432485731.0,eric.reyes.official,
63253777570.0,elemnt_gc22,63438175473.0,rachaelelorde,
63253791259.0,gregsvarcas,70089942616.0,rhythmsincere,
63624696525.0,chrisdirollo,66281829145.0,modeozz,
63624696525.0,chrisdirollo,63095622792.0,kyroee,
63449102401.0,partyshoppersng,63602936611.0,kreativebekoncepts,
63124188955.0,elouiseclark,70089942616.0,rhythmsincere,
63058373785.0,im.bmoney,64280605202.0,laniloowho,
63058373785.0,im.bmoney,63315393198.0,smarzziwoo,
63479715680.0,jrgmusic.au,69677616727.0,vmsqueenvictoria,
63479715680.0,jrgmusic.au,63278839947.0,kassidydidit,
63219334029.0,ashtrlmusic,69063988982.0,nedcrimmins,
63451336559.0,_._xciarax_._,66813198073.0,fabio_singe,
63418172987.0,reneedavy,70089942616.0,rhythmsincere,
63100685232.0,kasim.k003,63306392216.0,yadevparveen,
63083863216.0,bron.kh,63437220115.0,togo_8888,
63127478425.0,laughfulcorner,63436366319.0,abimbola_dennis_01,
63419167270.0,djmistag,63232507402.0,itsyaboijava,
63098659035.0,lacrow13,63306600656.0,brendenaccettura,
63070350876.0,baydennnn,66900342749.0,thomasmilde,
63433959927.0,trenttredman,69677616727.0,vmsqueenvictoria,
63060580871.0,christempestdj,63239789554.0,jdubmusic,
63060580871.0,christempestdj,63408358314.0,jayrob_music,
63060580871.0,christempestdj,63230223541.0,bullo_dj,
63060580871.0,christempestdj,63479715680.0,jrgmusic.au,
63060580871.0,christempestdj,63232507402.0,itsyaboijava,
63060580871.0,christempestdj,63056708461.0,dj_jimmycarey,
63099794125.0,shuntmra,66312908090.0,husonc,
63099794125.0,shuntmra,63479520695.0,dj_larry.p,
63099794125.0,shuntmra,63315393198.0,smarzziwoo,
63506657441.0,casssav,66312908090.0,husonc,
63605504909.0,hayley.james.0,70089942616.0,rhythmsincere,
63447509752.0,fletcherkirkman_,70089942616.0,rhythmsincere,
63307897576.0,arthurempire1,63461737529.0,kingdee_original,
63238022003.0,jakecarmody,69677616727.0,vmsqueenvictoria,
63238022003.0,jakecarmody,64032145397.0,chailynmacfarlane,
63238022003.0,jakecarmody,65933499127.0,nuzinator,
63285893659.0,gnge_au,69677616727.0,vmsqueenvictoria,
63285893659.0,gnge_au,69063988982.0,nedcrimmins,
63285893659.0,gnge_au,68939480864.0,nath_claridge,
63285893659.0,gnge_au,65917538501.0,tny_bass,
63285893659.0,gnge_au,63315393198.0,smarzziwoo,
63285893659.0,gnge_au,63056395619.0,jaiwaterhousedj,
63285893659.0,gnge_au,63479520695.0,dj_larry.p,
63285893659.0,gnge_au,63435647541.0,nickjamesaus,
63285893659.0,gnge_au,63448235522.0,nikkileighbt,
63285893659.0,gnge_au,63428244947.0,miiikaelaaa_____,
63285893659.0,gnge_au,63083281940.0,fontanellavitoria,
63285893659.0,gnge_au,63252167991.0,manny__078,
63285893659.0,gnge_au,63086635278.0,brandonsaena,
63285893659.0,gnge_au,63253777570.0,elemnt_gc22,
63285893659.0,gnge_au,63058373785.0,im.bmoney,
63285893659.0,gnge_au,63479715680.0,jrgmusic.au,
63285893659.0,gnge_au,63098566217.0,davidjohhn,
63285893659.0,gnge_au,63230223541.0,bullo_dj,
63285893659.0,gnge_au,63438175473.0,rachaelelorde,
63285893659.0,gnge_au,63419167270.0,djmistag,
63285893659.0,gnge_au,63430491868.0,thebravodj,
63285893659.0,gnge_au,63409878494.0,sundaiofficial,
63285893659.0,gnge_au,63433959927.0,trenttredman,
63285893659.0,gnge_au,63278133793.0,rymakdj,
63285893659.0,gnge_au,63506657441.0,casssav,
63285893659.0,gnge_au,63102493975.0,harpoon_official_,
63285893659.0,gnge_au,63447509752.0,fletcherkirkman_,
63285893659.0,gnge_au,63238022003.0,jakecarmody,
63285893659.0,gnge_au,63483432440.0,lukelabeat,
63285893659.0,gnge_au,63234126535.0,rojormg,
63285893659.0,gnge_au,63268232253.0,highupofficial,
63285893659.0,gnge_au,63232507402.0,itsyaboijava,
63285893659.0,gnge_au,63304121472.0,willoaus,
63285893659.0,gnge_au,63095622792.0,kyroee,
63285893659.0,gnge_au,63239789554.0,jdubmusic,
63285893659.0,gnge_au,63056708461.0,dj_jimmycarey,
63285893659.0,gnge_au,63467467984.0,chunkydip,
63285893659.0,gnge_au,63243105932.0,togetheragencyau,
63285893659.0,gnge_au,63408358314.0,jayrob_music,
63285893659.0,gnge_au,63283802869.0,vdjdan,
63651504490.0,tye_talley,66308281490.0,dadboddandtheeveryman,
63250928950.0,985themixfm,63159206351.0,djgreenguy,
63248349001.0,crazy_mia02,63451336559.0,_._xciarax_._,
63248349001.0,crazy_mia02,63278133793.0,rymakdj,
63248349001.0,crazy_mia02,63408358314.0,jayrob_music,
63248349001.0,crazy_mia02,63432485731.0,eric.reyes.official,
63248349001.0,crazy_mia02,63499113504.0,djbose_au,
63137030417.0,duda_magal14,63095622792.0,kyroee,
63234126535.0,rojormg,65161385810.0,4bey_life,
63234126535.0,rojormg,63479520695.0,dj_larry.p,
63234126535.0,rojormg,63435647541.0,nickjamesaus,
63234126535.0,rojormg,63448235522.0,nikkileighbt,
63234126535.0,rojormg,63444496451.0,code.e_dj,
63234126535.0,rojormg,63086635278.0,brandonsaena,
63234126535.0,rojormg,63624696525.0,chrisdirollo,
63234126535.0,rojormg,63235036400.0,itslukemumby,
63234126535.0,rojormg,63278133793.0,rymakdj,
63234126535.0,rojormg,63285893659.0,gnge_au,
63234126535.0,rojormg,63056708461.0,dj_jimmycarey,
63234126535.0,rojormg,63056395619.0,jaiwaterhousedj,
63234126535.0,rojormg,63095622792.0,kyroee,
63234126535.0,rojormg,63483432440.0,lukelabeat,
63432485731.0,eric.reyes.official,63922230072.0,david.bo,
63432485731.0,eric.reyes.official,63278839947.0,kassidydidit,
63432485731.0,eric.reyes.official,63252167991.0,manny__078,
63432485731.0,eric.reyes.official,63409878494.0,sundaiofficial,
63432485731.0,eric.reyes.official,63438175473.0,rachaelelorde,
63432485731.0,eric.reyes.official,63235036400.0,itslukemumby,
63432485731.0,eric.reyes.official,63278133793.0,rymakdj,
63432485731.0,eric.reyes.official,63447509752.0,fletcherkirkman_,
63432485731.0,eric.reyes.official,63248349001.0,crazy_mia02,
63041109776.0,lucas.gio.vanni,63242845987.0,markinho_bp,
63499113504.0,djbose_au,69677616727.0,vmsqueenvictoria,
63499113504.0,djbose_au,66281829145.0,modeozz,
63499113504.0,djbose_au,65865037805.0,officialkaitu,
63499113504.0,djbose_au,63086635278.0,brandonsaena,
63499113504.0,djbose_au,63253777570.0,elemnt_gc22,
63499113504.0,djbose_au,63479715680.0,jrgmusic.au,
63499113504.0,djbose_au,63238316409.0,bigmoomusic,
63499113504.0,djbose_au,63230223541.0,bullo_dj,
63499113504.0,djbose_au,63419167270.0,djmistag,
63499113504.0,djbose_au,63430491868.0,thebravodj,
63499113504.0,djbose_au,63235036400.0,itslukemumby,
63499113504.0,djbose_au,63278133793.0,rymakdj,
63499113504.0,djbose_au,63408358314.0,jayrob_music,
63499113504.0,djbose_au,63056708461.0,dj_jimmycarey,
63499113504.0,djbose_au,63239789554.0,jdubmusic,
63499113504.0,djbose_au,63056395619.0,jaiwaterhousedj,
63499113504.0,djbose_au,63311795024.0,3milialau,
63499113504.0,djbose_au,63095622792.0,kyroee,
63499113504.0,djbose_au,63409878494.0,sundaiofficial,
63499113504.0,djbose_au,63248349001.0,crazy_mia02,
63380170905.0,mcghetto_,63296794843.0,king._.neptune_,
63380170905.0,mcghetto_,63063549571.0,kingjagmusic,
63483432440.0,lukelabeat,69677616727.0,vmsqueenvictoria,
63483432440.0,lukelabeat,63232507402.0,itsyaboijava,
63483432440.0,lukelabeat,64967809162.0,djstevefrank,
63483432440.0,lukelabeat,63300377357.0,mattjames_dj,
63483432440.0,lukelabeat,63086635278.0,brandonsaena,
63483432440.0,lukelabeat,63671040241.0,zannon,
63483432440.0,lukelabeat,63419167270.0,djmistag,
63483432440.0,lukelabeat,63430491868.0,thebravodj,
63483432440.0,lukelabeat,63235036400.0,itslukemumby,
63483432440.0,lukelabeat,63278133793.0,rymakdj,
63483432440.0,lukelabeat,63238022003.0,jakecarmody,
63483432440.0,lukelabeat,63285893659.0,gnge_au,
63483432440.0,lukelabeat,63408358314.0,jayrob_music,
63483432440.0,lukelabeat,63243105932.0,togetheragencyau,
63483432440.0,lukelabeat,63302652192.0,ashufflemusic,
63483432440.0,lukelabeat,63239789554.0,jdubmusic,
63483432440.0,lukelabeat,63056708461.0,dj_jimmycarey,
63483432440.0,lukelabeat,63056395619.0,jaiwaterhousedj,
63483432440.0,lukelabeat,63293179379.0,ordleyofficial,
63483432440.0,lukelabeat,63304121472.0,willoaus,
63483432440.0,lukelabeat,63095622792.0,kyroee,
63483432440.0,lukelabeat,63409878494.0,sundaiofficial,
63483432440.0,lukelabeat,63234126535.0,rojormg,
