user_pk,follower_pk,follower_username,follower_count,user_threads_userpk,user_threads_follower_pk,username
64525247485,4529033111,mbahareth,184965,63455922727.0,63455922727.0,
64525247485,6256327,subflw47,105,63619176581.0,63619176581.0,
64525247485,1543524229,pasperfection,306,65363877952.0,65363877952.0,
64525247485,622028921,yourmomsasaurasrekt,909,63259905468.0,63259905468.0,
64525247485,3474543212,bezprzesady.eth,106,63870852621.0,63870852621.0,
64525247485,468639049,gcanderoli,103,63293963618.0,63293963618.0,
64525247485,61568772137,vyvy.jupi,304,66789214180.0,66789214180.0,
64525247485,68761428465,whiteboardprogrammer,831,68984944590.0,68984944590.0,
64525247485,2123429035,kristianhfoged,181,63563525222.0,63563525222.0,
64525247485,2988995944,lusbnz_,113,63459729357.0,63459729357.0,
64525247485,208939168,michellelrobbins,539,63295025682.0,63295025682.0,
64525247485,67618238865,mrlinxed,416,67655180104.0,67655180104.0,
64525247485,66531872472,unclejobs.ai,3467,66161159209.0,66161159209.0,
64525247485,48612822891,kh.onello,118,63206455798.0,63206455798.0,
64525247485,58575140276,bossup.ai,237,67142320502.0,67142320502.0,
64525247485,1388829152,indrajit_._,112,63130780717.0,63130780717.0,
64525247485,2091892275,raytzan,132,65100721875.0,65100721875.0,
64525247485,2078107698,weng_bing_tony,228,63128266640.0,63128266640.0,
64525247485,1579789103,sashiomarda,166,63422927286.0,63422927286.0,
64525247485,30961611,excesdevitesse,151,63254488135.0,63254488135.0,
64525247485,1741483057,jerry_john_7,162,68723828971.0,68723828971.0,
64525247485,4363141450,kimhojune__,161,63421319213.0,63421319213.0,
64525247485,5368166785,luc_delattre,312,63566421802.0,63566421802.0,
64525247485,5872717364,lemon_aa_,380,63230902539.0,63230902539.0,
64525247485,282427785,mario_vqa,130,63397365088.0,63397365088.0,
64525247485,28357002462,04.bhavyaa,450,63076420470.0,63076420470.0,
64525247485,48113536768,phd_e.o.m,103,63095668612.0,63095668612.0,
64525247485,4871683348,amen.paul.rijo,235,63463901165.0,63463901165.0,
64525247485,58022180992,tolj.p,285,67069598296.0,67069598296.0,
64525247485,3018483239,eyedonyell,407,63414782841.0,63414782841.0,
64525247485,3918467982,suyashsayankar,210,67897337276.0,67897337276.0,
64525247485,302589037,tinhoang_phd,274,63415733193.0,63415733193.0,
64525247485,4267184094,surplussatire,823,63467155018.0,63467155018.0,
64525247485,520029931,ggson1222,150,65897472765.0,65897472765.0,
64525247485,53605174574,aynsky_,122,67142096183.0,67142096183.0,
64525247485,2953846346,46elks,856,63764688319.0,63764688319.0,
64525247485,68128093256,learnandearnwithvijay,1506,68356434688.0,68356434688.0,
64525247485,49615131726,to.my_research,497,67598481339.0,67598481339.0,
64525247485,2679249066,00xglitch,158,63277407670.0,63277407670.0,
64525247485,58625151229,nbktechworld,114,63390638997.0,63390638997.0,
64525247485,1404636675,mohamadesa_r,199,63060733369.0,63060733369.0,
64525247485,27854795,tfeiner,160,63577286652.0,63577286652.0,
64525247485,2012763219,thatsmypigga,112,63063203978.0,63063203978.0,
64525247485,40748308111,kondababu27,101,69664391874.0,69664391874.0,
64525247485,7237172014,juroy_lim,191,63404631185.0,63404631185.0,
64525247485,5824771397,swachira117,109,63077437228.0,63077437228.0,
64525247485,8553193481,sachinpc9,907,63421157868.0,63421157868.0,
64525247485,1701779050,masamin.id,331,63474291578.0,63474291578.0,
64525247485,59425448704,alaa.mbarkat,456,63390213319.0,63390213319.0,
64525247485,485336572,orijing,207,63428906238.0,63428906238.0,
64525247485,1633763692,tamsin_crossland,1618,63203503727.0,63203503727.0,
64525247485,10719029842,dkeimpe,334,65575359876.0,65575359876.0,
64525247485,6799625891,shaqilshaheen10,105,63312072617.0,63312072617.0,
64525247485,9522029610,dn.ape,13375,63530817268.0,63530817268.0,
64525247485,1322848408,eastar_dong_q,187,68731622574.0,68731622574.0,
64525247485,2305219645,r0o0b0e0r0t0,105,64445574992.0,64445574992.0,
64525247485,214589689,hunglethanh,142,63457252950.0,63457252950.0,
64525247485,178938602,heon_yun,135,63457995574.0,63457995574.0,
64525247485,8261600180,unknown.rebel__,131,63453429905.0,63453429905.0,
64525247485,60756464818,memory_leak101,102,63132876559.0,63132876559.0,
64525247485,1930312444,jwiggi21,201,63492079848.0,63492079848.0,
64525247485,6947288900,d._a_v._e,492,63442283145.0,63442283145.0,
64525247485,1955793708,stephanie_tien,219,63261118058.0,63261118058.0,
64525247485,40990956617,sanuvishal14,112,63428626594.0,63428626594.0,
64525247485,559508353,_the_catalyst,425,63400940926.0,63400940926.0,
64525247485,5221358,joenandez,1493,63021383173.0,63021383173.0,
64525247485,5669583690,eric910626,234,63428790533.0,63428790533.0,
64525247485,2110116627,ocamilo._.torres,113,63079755789.0,63079755789.0,
64525247485,55837009893,tugover,1185,63381648917.0,63381648917.0,
64525247485,5352888657,paulabastiasb,139,63280924223.0,63280924223.0,
